s,C,C,1/m,1/m
Time,TC_Ceiling_F1,TC_F1_1_8,EXT_F1_1_8,EXT_DEVC_F1_2_3
 0.0000000E+000, 1.2100000E+001, 1.2100000E+001, 0.0000000E+000, 0.0000000E+000
 1.0014841E+000, 1.2100055E+001, 1.2100093E+001, 0.0000000E+000, 0.0000000E+000
 2.0040981E+000, 1.2100951E+001, 1.2102151E+001, 3.4803726E-188, 1.2876347E-185
 3.0039335E+000, 1.2287517E+001, 1.2111225E+001, 1.1537127E-134, 9.9550059E-108
 4.0055877E+000, 1.7941214E+001, 1.2122013E+001, 1.0270235E-114, 1.0295300E-066
 5.0021250E+000, 2.1103876E+001, 1.2131847E+001, 7.0776991E-077, 2.0626376E-032
 6.0002347E+000, 2.2706815E+001, 1.2141234E+001, 4.3288861E-050, 1.0227948E-015
 7.0112297E+000, 2.2928370E+001, 1.2151749E+001, 6.9653325E-032, 9.9885924E-010
 8.0028986E+000, 2.3135682E+001, 1.2164612E+001, 2.5465207E-024, 4.9938932E-008
 9.0019214E+000, 2.4257319E+001, 1.2179756E+001, 1.8022881E-021, 8.8783253E-007
 1.0000934E+001, 2.6478261E+001, 1.2200264E+001, 8.8423763E-020, 2.7431330E-006
 1.1006729E+001, 2.8600497E+001, 1.2224688E+001, 1.7242524E-018, 1.5518006E-005
 1.2009971E+001, 2.9747273E+001, 1.2253976E+001, 1.3690484E-017, 6.5216689E-005
 1.3005083E+001, 3.1800261E+001, 1.2285307E+001, 1.6367881E-016, 1.8662934E-004
 1.4007688E+001, 3.4287543E+001, 1.2317226E+001, 3.4739658E-010, 3.2843751E-004
 1.5009290E+001, 3.5532415E+001, 1.2353979E+001, 2.6892835E-003, 3.1388758E-004
 1.6002931E+001, 3.7313343E+001, 1.2577834E+001, 8.3898912E-002, 1.1552280E-003
 1.7000202E+001, 3.8314155E+001, 1.3107467E+001, 1.0183337E-001, 4.3076701E-002
 1.8010588E+001, 3.9251112E+001, 1.3611759E+001, 9.6407713E-002, 7.6845854E-002
 1.9005158E+001, 4.1817233E+001, 1.4027717E+001, 1.2254559E-001, 7.4097597E-002
 2.0009313E+001, 4.3534763E+001, 1.4714001E+001, 1.4589766E-001, 8.1147964E-002
 2.1007152E+001, 4.4939642E+001, 1.5139250E+001, 1.2968965E-001, 1.1910670E-001
 2.2005661E+001, 4.4322233E+001, 1.5676560E+001, 1.4998124E-001, 1.1296747E-001
 2.3001251E+001, 4.4839611E+001, 1.5956016E+001, 1.1392222E-001, 1.3985912E-001
 2.4001747E+001, 4.8729118E+001, 1.5962584E+001, 7.2983226E-002, 1.4329149E-001
 2.5004715E+001, 5.1846250E+001, 1.5835327E+001, 5.0101465E-002, 1.4538138E-001
 2.6001224E+001, 5.4090060E+001, 1.5653547E+001, 3.7086212E-002, 2.0600572E-001
 2.7008052E+001, 5.5174651E+001, 1.5423846E+001, 1.3243217E-002, 2.0306181E-001
 2.8006646E+001, 5.4567151E+001, 1.5284317E+001, 8.8305045E-002, 2.1823765E-001
 2.9005685E+001, 5.4924257E+001, 1.5773260E+001, 1.8542250E-001, 2.2977938E-001
 3.0006249E+001, 5.5741904E+001, 1.6404469E+001, 1.7699653E-001, 2.5954096E-001
 3.1008731E+001, 5.6857402E+001, 1.6806042E+001, 1.2377075E-001, 2.2293971E-001
 3.2006475E+001, 5.6174409E+001, 1.6760448E+001, 6.1348105E-002, 2.3247123E-001
 3.3004580E+001, 5.6243482E+001, 1.6616848E+001, 8.0158334E-002, 2.3177637E-001
 3.4002832E+001, 5.7231630E+001, 1.6813799E+001, 1.7513130E-001, 2.3057050E-001
 3.5003140E+001, 5.8639391E+001, 1.7182093E+001, 1.5011248E-001, 2.8962580E-001
 3.6000726E+001, 5.7991780E+001, 1.7199118E+001, 8.6479683E-002, 2.9329011E-001
 3.7008333E+001, 5.8506130E+001, 1.7049387E+001, 6.3674368E-002, 3.1773650E-001
 3.8002759E+001, 5.8417604E+001, 1.6954193E+001, 8.6080587E-002, 3.2444828E-001
 3.9000661E+001, 5.7258061E+001, 1.6995047E+001, 1.3924832E-001, 3.1033772E-001
 4.0000758E+001, 5.7206370E+001, 1.7564836E+001, 3.0849820E-001, 3.4436763E-001
 4.1009731E+001, 5.5987176E+001, 1.8880907E+001, 3.7514994E-001, 3.7640966E-001
 4.2007212E+001, 5.6064403E+001, 1.9745747E+001, 2.8149201E-001, 3.8582236E-001
 4.3001923E+001, 5.6320881E+001, 2.0080615E+001, 2.5600582E-001, 3.8335871E-001
 4.4009617E+001, 5.6726323E+001, 2.0400444E+001, 2.8223020E-001, 3.5929517E-001
 4.5008637E+001, 5.6356548E+001, 2.0761566E+001, 3.4286660E-001, 3.7993315E-001
 4.6001904E+001, 5.5446270E+001, 2.1420861E+001, 4.0223142E-001, 3.9475170E-001
 4.7007876E+001, 5.4591196E+001, 2.2295352E+001, 4.3987457E-001, 4.0273702E-001
 4.8005985E+001, 5.4109334E+001, 2.2875121E+001, 3.3306189E-001, 4.0359307E-001
 4.9007751E+001, 5.3407733E+001, 2.2874977E+001, 2.3834683E-001, 4.0926335E-001
 5.0005610E+001, 5.5611239E+001, 2.2448689E+001, 1.4719465E-001, 4.1522377E-001
 5.1010351E+001, 5.8644099E+001, 2.2163440E+001, 2.6997882E-001, 4.1303084E-001
 5.2005786E+001, 5.7714157E+001, 2.2717307E+001, 4.6836458E-001, 4.2405636E-001
 5.3006982E+001, 5.7895698E+001, 2.3738272E+001, 4.9672584E-001, 4.3211329E-001
 5.4009493E+001, 5.8219117E+001, 2.4842402E+001, 5.1583162E-001, 4.5394916E-001
 5.5003980E+001, 5.8318772E+001, 2.5775481E+001, 5.1545178E-001, 4.6259017E-001
 5.6009226E+001, 5.8759094E+001, 2.6493555E+001, 5.0212257E-001, 4.5833531E-001
 5.7006141E+001, 5.8878160E+001, 2.6896304E+001, 4.7750571E-001, 4.7831261E-001
 5.8008176E+001, 5.7826723E+001, 2.7174489E+001, 4.7818597E-001, 4.8505084E-001
 5.9008754E+001, 5.6505984E+001, 2.7504128E+001, 5.4859146E-001, 4.5859510E-001
 6.0000497E+001, 5.5976648E+001, 2.8102807E+001, 5.5219903E-001, 4.8127473E-001
 6.1009834E+001, 5.7288424E+001, 2.8624117E+001, 5.5856193E-001, 5.0921570E-001
 6.2010506E+001, 5.8156004E+001, 2.9084751E+001, 5.6199779E-001, 4.8023007E-001
 6.3005453E+001, 5.8480440E+001, 2.9478659E+001, 5.7467778E-001, 4.8669775E-001
 6.4007245E+001, 5.8593512E+001, 2.9808681E+001, 5.7774649E-001, 5.0898698E-001
 6.5005840E+001, 5.9124143E+001, 2.9983195E+001, 5.6581151E-001, 5.4302325E-001
 6.6001765E+001, 6.0597727E+001, 2.9971728E+001, 5.5592988E-001, 5.5392424E-001
 6.7002223E+001, 6.0757258E+001, 3.0175111E+001, 5.8645722E-001, 5.5546438E-001
 6.8002105E+001, 6.1209012E+001, 3.0340451E+001, 5.7775019E-001, 5.1987222E-001
 6.9005147E+001, 6.0037823E+001, 3.0450636E+001, 5.9087330E-001, 5.3336047E-001
 7.0001343E+001, 5.8253864E+001, 3.0596850E+001, 5.9955376E-001, 5.2937477E-001
 7.1010607E+001, 5.8249856E+001, 3.0739337E+001, 5.9634110E-001, 5.3303029E-001
 7.2006355E+001, 5.7595369E+001, 3.0591671E+001, 5.4480384E-001, 5.5689537E-001
 7.3008008E+001, 5.7522334E+001, 3.0480535E+001, 5.8651782E-001, 5.5850559E-001
 7.4001419E+001, 5.6971121E+001, 3.0588280E+001, 6.1162610E-001, 5.7424159E-001
 7.5003474E+001, 5.7425990E+001, 3.0806738E+001, 6.1911695E-001, 5.8949947E-001
 7.6005462E+001, 5.8503464E+001, 3.0917607E+001, 6.1929115E-001, 5.9300452E-001
 7.7001430E+001, 5.9267604E+001, 3.0850979E+001, 6.1054773E-001, 5.9068385E-001
 7.8005021E+001, 5.9447492E+001, 3.0924597E+001, 6.1753554E-001, 5.9935672E-001
 7.9003513E+001, 6.0393423E+001, 3.1045910E+001, 6.1730682E-001, 6.1125032E-001
 8.0004039E+001, 6.1146426E+001, 3.1212598E+001, 6.2533994E-001, 6.2008289E-001
 8.1001647E+001, 6.3389383E+001, 3.1290263E+001, 6.2219444E-001, 6.2620362E-001
 8.2003892E+001, 6.5739361E+001, 3.1383187E+001, 6.2483711E-001, 6.1295096E-001
 8.3003920E+001, 6.5550199E+001, 3.1571935E+001, 6.5223321E-001, 6.1693532E-001
 8.4004757E+001, 6.3653680E+001, 3.1858571E+001, 6.5679114E-001, 6.1835013E-001
 8.5006285E+001, 6.4943153E+001, 3.2097400E+001, 6.6763465E-001, 6.0554187E-001
 8.6004960E+001, 6.6619222E+001, 3.2496971E+001, 6.9116289E-001, 6.1202636E-001
 8.7010572E+001, 6.6742395E+001, 3.2950596E+001, 6.9352541E-001, 6.2062384E-001
 8.8008416E+001, 6.6616432E+001, 3.3167739E+001, 6.8808719E-001, 6.3684012E-001
 8.9003060E+001, 6.5649502E+001, 3.3290308E+001, 6.9622747E-001, 6.3568967E-001
 9.0004233E+001, 6.4936226E+001, 3.3462256E+001, 6.9729584E-001, 6.4323353E-001
 9.1002534E+001, 6.5809066E+001, 3.3579834E+001, 6.9057361E-001, 6.5049710E-001
 9.2005549E+001, 6.6627975E+001, 3.3632244E+001, 6.7697335E-001, 6.8076270E-001
 9.3009506E+001, 6.6516883E+001, 3.3677082E+001, 6.9807588E-001, 6.8211384E-001
 9.4008043E+001, 6.5205001E+001, 3.3777687E+001, 7.1366952E-001, 6.8124580E-001
 9.5008217E+001, 6.3395658E+001, 3.3952144E+001, 7.2595316E-001, 7.0224191E-001
 9.6001398E+001, 6.4165510E+001, 3.4156580E+001, 7.3898863E-001, 7.0811062E-001
 9.7001077E+001, 6.6322043E+001, 3.4359665E+001, 7.2419125E-001, 7.0908883E-001
 9.8008117E+001, 6.7008923E+001, 3.4293947E+001, 7.0176627E-001, 7.0163259E-001
 9.9006946E+001, 6.6895182E+001, 3.4236263E+001, 7.3425262E-001, 7.0199708E-001
 1.0000000E+002, 6.7506684E+001, 3.4226763E+001, 6.9474495E-001, 7.0766619E-001
