s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1436569E-004, 2.6686120E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1436302E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0780170E-001
 1.0054063E+000, 3.8491867E+000, 0.0000000E+000,-1.8071730E+000,-2.6052546E-005,-1.1747579E-001, 0.0000000E+000, 7.4382869E-001, 0.0000000E+000, 2.5409102E+000, 2.6683406E+000, 0.0000000E+000, 1.3201102E-004, 0.0000000E+000, 1.4605215E+001
 2.0101535E+000, 3.0428373E+000, 0.0000000E+000,-8.3305205E-001, 4.4662467E-004,-8.7195290E-002, 0.0000000E+000, 8.1697278E-001, 0.0000000E+000, 2.7184364E+000, 2.9400093E+000, 0.0000000E+000, 1.4919989E-004, 0.0000000E+000, 3.1212818E+001
 3.0195913E+000, 8.8865896E+000, 0.0000000E+000,-3.2097420E+000, 1.6895689E-004,-1.2898522E-001, 0.0000000E+000, 2.1847379E+000, 0.0000000E+000, 7.5288032E+000, 7.7327693E+000, 0.0000000E+000, 1.6573768E-004, 0.0000000E+000, 7.6804992E+001
 4.0180602E+000, 7.3664231E+000, 0.0000000E+000,-2.5407722E+000, 3.0605506E-004,-1.8496279E-001, 0.0000000E+000, 1.7929960E+000, 0.0000000E+000, 6.0436528E+000, 6.4339901E+000, 0.0000000E+000, 1.8151833E-004, 0.0000000E+000, 1.1313174E+002
 5.0171676E+000, 7.9206008E+000, 0.0000000E+000,-2.9329713E+000, 1.8047108E-004,-2.1125160E-001, 0.0000000E+000, 1.9372861E+000, 0.0000000E+000, 6.7431946E+000, 6.7138445E+000, 0.0000000E+000, 1.9630770E-004, 0.0000000E+000, 1.5375185E+002
 6.0203652E+000, 8.7251666E+000, 0.0000000E+000,-2.8583712E+000, 1.8882208E-004,-3.0613953E-001, 0.0000000E+000, 2.1905372E+000, 0.0000000E+000, 7.5593086E+000, 7.7513819E+000, 0.0000000E+000, 2.1036034E-004, 0.0000000E+000, 1.9930428E+002
 7.0197353E+000, 1.0652979E+001, 0.0000000E+000,-4.0205796E+000, 5.3032063E-005,-4.0200879E-001, 0.0000000E+000, 2.5048650E+000, 0.0000000E+000, 8.7140808E+000, 8.7353088E+000, 0.0000000E+000, 2.2354327E-004, 0.0000000E+000, 2.5163505E+002
 8.0125465E+000, 9.7907017E+000, 0.0000000E+000,-3.2602935E+000, 1.3805112E-004,-5.2923996E-001, 0.0000000E+000, 2.4215810E+000, 0.0000000E+000, 8.4031519E+000, 8.4228873E+000, 0.0000000E+000, 2.3590166E-004, 0.0000000E+000, 3.0205498E+002
 9.0174770E+000, 1.0487608E+001, 0.0000000E+000,-3.6331784E+000,-3.2774497E-005,-6.2781090E-001, 0.0000000E+000, 2.4838630E+000, 0.0000000E+000, 8.5955916E+000, 8.7104490E+000, 0.0000000E+000, 2.4740680E-004, 0.0000000E+000, 3.5399290E+002
 1.0000170E+001, 1.3216719E+001, 0.0000000E+000,-4.4198933E+000, 1.0367691E-004,-7.2636564E-001, 0.0000000E+000, 3.2399959E+000, 0.0000000E+000, 1.1265715E+001, 1.1310559E+001, 0.0000000E+000, 2.5809785E-004, 0.0000000E+000, 4.2061337E+002
 1.1003532E+001, 1.3845335E+001, 0.0000000E+000,-4.3095797E+000, 1.2535105E-004,-8.3898075E-001, 0.0000000E+000, 3.4447912E+000, 0.0000000E+000, 1.1894715E+001, 1.2141691E+001, 0.0000000E+000, 2.6952373E-004, 0.0000000E+000, 4.9230394E+002
 1.2017935E+001, 9.7985645E+000, 0.0000000E+000,-2.9903438E+000, 3.0256656E-004,-9.4672281E-001, 0.0000000E+000, 2.3979486E+000, 0.0000000E+000, 8.3351885E+000, 8.2597490E+000, 0.0000000E+000, 2.8187467E-004, 0.0000000E+000, 5.4370928E+002
 1.3012596E+001, 1.4937305E+001, 0.0000000E+000,-4.9234279E+000, 1.5321764E-004,-1.0659139E+000, 0.0000000E+000, 3.5492432E+000, 0.0000000E+000, 1.2213175E+001, 1.2497359E+001, 0.0000000E+000, 2.9130981E-004, 0.0000000E+000, 6.1682000E+002
 1.4013442E+001, 1.3910330E+001, 0.0000000E+000,-4.4530458E+000, 2.7737081E-005,-1.1514408E+000, 0.0000000E+000, 3.3436524E+000, 0.0000000E+000, 1.1688685E+001, 1.1649523E+001, 0.0000000E+000, 2.9816703E-004, 0.0000000E+000, 6.8713114E+002
 1.5016387E+001, 1.3798263E+001, 0.0000000E+000,-4.3980503E+000, 1.2318422E-004,-1.2423427E+000, 0.0000000E+000, 3.2655648E+000, 0.0000000E+000, 1.1319293E+001, 1.1423558E+001, 0.0000000E+000, 3.0254867E-004, 0.0000000E+000, 7.5548092E+002
 1.6016218E+001, 1.4436053E+001, 0.0000000E+000,-4.8500249E+000, 9.9127143E-005,-1.2878592E+000, 0.0000000E+000, 3.2360886E+000, 0.0000000E+000, 1.1078219E+001, 1.1534356E+001, 0.0000000E+000, 3.0461017E-004, 0.0000000E+000, 8.2184779E+002
 1.7000502E+001, 1.3303324E+001, 0.0000000E+000,-3.8388789E+000, 1.9487732E-004,-1.3986642E+000, 0.0000000E+000, 3.2487546E+000, 0.0000000E+000, 1.1148186E+001, 1.1314730E+001, 0.0000000E+000, 3.0599980E-004, 0.0000000E+000, 8.8845961E+002
 1.8007551E+001, 1.6569477E+001, 0.0000000E+000,-5.9466204E+000, 4.0760048E-005,-1.4700334E+000, 0.0000000E+000, 3.6932624E+000, 0.0000000E+000, 1.2872974E+001, 1.2846126E+001, 0.0000000E+000, 3.0678627E-004, 0.0000000E+000, 9.6652881E+002
 1.9018881E+001, 1.4273248E+001, 0.0000000E+000,-4.7525511E+000,-1.4666537E-005,-1.5593439E+000, 0.0000000E+000, 3.1570644E+000, 0.0000000E+000, 1.0915457E+001, 1.1118402E+001, 0.0000000E+000, 3.1241905E-004, 0.0000000E+000, 1.0327834E+003
 2.0014112E+001, 1.4569024E+001, 0.0000000E+000,-4.8832145E+000,-2.1040215E-005,-1.6403096E+000, 0.0000000E+000, 3.2529102E+000, 0.0000000E+000, 1.1319718E+001, 1.1298389E+001, 0.0000000E+000, 3.2250201E-004, 0.0000000E+000, 1.1006224E+003
 2.1011606E+001, 1.6659850E+001, 0.0000000E+000,-5.4009899E+000, 1.8461416E-005,-1.6819511E+000, 0.0000000E+000, 3.8299534E+000, 0.0000000E+000, 1.3278798E+001, 1.3406881E+001, 0.0000000E+000, 3.3291858E-004, 0.0000000E+000, 1.1802707E+003
 2.2016237E+001, 1.2510075E+001, 0.0000000E+000,-3.8134292E+000, 2.0617019E-004,-1.7172400E+000, 0.0000000E+000, 2.8377035E+000, 0.0000000E+000, 9.7430471E+000, 9.8173153E+000, 0.0000000E+000, 3.4376302E-004, 0.0000000E+000, 1.2399146E+003
 2.3017399E+001, 1.8173454E+001, 0.0000000E+000,-6.3061117E+000, 1.7035494E-004,-1.7579909E+000, 0.0000000E+000, 4.1192701E+000, 0.0000000E+000, 1.4494911E+001, 1.4228792E+001, 0.0000000E+000, 3.5236460E-004, 0.0000000E+000, 1.3273219E+003
 2.4012989E+001, 1.6084284E+001, 0.0000000E+000,-5.2997403E+000, 3.2360189E-005,-1.8346111E+000, 0.0000000E+000, 3.5770594E+000, 0.0000000E+000, 1.2415789E+001, 1.2527024E+001, 0.0000000E+000, 3.5892614E-004, 0.0000000E+000, 1.4016103E+003
 2.5008968E+001, 1.8696422E+001, 0.0000000E+000,-6.1347705E+000, 1.5505929E-004,-1.9425567E+000, 0.0000000E+000, 4.2809720E+000, 0.0000000E+000, 1.4902674E+001, 1.4900222E+001, 0.0000000E+000, 3.6349232E-004, 0.0000000E+000, 1.4910287E+003
 2.6017967E+001, 1.6876589E+001, 0.0000000E+000,-5.4822218E+000, 9.5052792E-005,-2.0639290E+000, 0.0000000E+000, 3.7048609E+000, 0.0000000E+000, 1.2812584E+001, 1.3035394E+001, 0.0000000E+000, 3.6628006E-004, 0.0000000E+000, 1.5686978E+003
 2.7007692E+001, 1.4046637E+001, 0.0000000E+000,-4.7188280E+000, 1.1961268E-004,-2.0688160E+000, 0.0000000E+000, 3.0045928E+000, 0.0000000E+000, 1.0511326E+001, 1.0263705E+001, 0.0000000E+000, 3.6766841E-004, 0.0000000E+000, 1.6319308E+003
 2.8016375E+001, 1.8734511E+001, 0.0000000E+000,-6.2714089E+000, 2.7678959E-005,-2.1619243E+000, 0.0000000E+000, 4.1160508E+000, 0.0000000E+000, 1.4244511E+001, 1.4417257E+001, 0.0000000E+000, 3.6778244E-004, 0.0000000E+000, 1.7183792E+003
 2.9007013E+001, 1.6261544E+001, 0.0000000E+000,-5.5536262E+000, 1.1249806E-004,-2.2660287E+000, 0.0000000E+000, 3.4285731E+000, 0.0000000E+000, 1.1964671E+001, 1.1870575E+001, 0.0000000E+000, 3.6705249E-004, 0.0000000E+000, 1.7898753E+003
 3.0002897E+001, 1.8934105E+001, 0.0000000E+000,-6.3252502E+000, 5.0928408E-005,-2.4384648E+000, 0.0000000E+000, 4.0863961E+000, 0.0000000E+000, 1.4208727E+001, 1.4256837E+001, 0.0000000E+000, 3.6556907E-004, 0.0000000E+000, 1.8750498E+003
 3.1010572E+001, 1.7554306E+001, 0.0000000E+000,-5.8531742E+000, 6.7475311E-005,-2.4359513E+000, 0.0000000E+000, 3.7214229E+000, 0.0000000E+000, 1.2902348E+001, 1.2986671E+001, 0.0000000E+000, 3.6292362E-004, 0.0000000E+000, 1.9533674E+003
 3.2010242E+001, 1.6948050E+001, 0.0000000E+000,-5.7547805E+000, 8.6872163E-005,-2.4952551E+000, 0.0000000E+000, 3.4813274E+000, 0.0000000E+000, 1.2068219E+001, 1.2179429E+001, 0.0000000E+000, 3.5919351E-004, 0.0000000E+000, 2.0259900E+003
 3.3000172E+001, 1.8239546E+001, 0.0000000E+000,-6.2628180E+000, 2.0252163E-004,-2.5606726E+000, 0.0000000E+000, 3.7802695E+000, 0.0000000E+000, 1.3082194E+001, 1.3196527E+001, 0.0000000E+000, 3.5403655E-004, 0.0000000E+000, 2.1041599E+003
 3.4003151E+001, 1.2499687E+001, 0.0000000E+000,-4.4267280E+000, 1.9571450E-004,-2.6074819E+000, 0.0000000E+000, 2.1710143E+000, 0.0000000E+000, 7.3229797E+000, 7.6366873E+000, 0.0000000E+000, 3.4752567E-004, 0.0000000E+000, 2.1488490E+003
 3.5004128E+001, 1.8031037E+001, 0.0000000E+000,-6.3053368E+000, 5.6363207E-005,-2.6654701E+000, 0.0000000E+000, 3.6868768E+000, 0.0000000E+000, 1.2894953E+001, 1.2747163E+001, 0.0000000E+000, 3.4156495E-004, 0.0000000E+000, 2.2267089E+003
 3.6020294E+001, 1.7321322E+001, 0.0000000E+000,-5.9881634E+000, 4.1316043E-005,-2.7009768E+000, 0.0000000E+000, 3.4888773E+000, 0.0000000E+000, 1.2147392E+001, 1.2121100E+001, 0.0000000E+000, 3.3619133E-004, 0.0000000E+000, 2.3011252E+003
 3.7001766E+001, 1.5682019E+001, 0.0000000E+000,-5.5071782E+000, 5.7410789E-005,-2.7164086E+000, 0.0000000E+000, 2.9599108E+000, 0.0000000E+000, 1.0201974E+001, 1.0418400E+001, 0.0000000E+000, 3.3235719E-004, 0.0000000E+000, 2.3612908E+003
 3.8002750E+001, 1.6673427E+001, 0.0000000E+000,-6.1177206E+000, 1.5435600E-004,-2.7352641E+000, 0.0000000E+000, 3.1402556E+000, 0.0000000E+000, 1.0888901E+001, 1.0960852E+001, 0.0000000E+000, 3.2991436E-004, 0.0000000E+000, 2.4269899E+003
 3.9010948E+001, 1.3265739E+001, 0.0000000E+000,-4.3662955E+000, 1.2332876E-004,-2.7830460E+000, 0.0000000E+000, 2.4547267E+000, 0.0000000E+000, 8.3682536E+000, 8.5712473E+000, 0.0000000E+000, 3.2854601E-004, 0.0000000E+000, 2.4782502E+003
 4.0007145E+001, 1.7068822E+001, 0.0000000E+000,-6.2936598E+000, 1.4126816E-004,-2.8446918E+000, 0.0000000E+000, 3.2542211E+000, 0.0000000E+000, 1.1466105E+001, 1.1184833E+001, 0.0000000E+000, 3.2823152E-004, 0.0000000E+000, 2.5472059E+003
 4.1020447E+001, 1.6295561E+001, 0.0000000E+000,-5.7408235E+000, 5.1075061E-005,-2.9138471E+000, 0.0000000E+000, 3.0935242E+000, 0.0000000E+000, 1.0766739E+001, 1.0734466E+001, 0.0000000E+000, 3.2931531E-004, 0.0000000E+000, 2.6130706E+003
 4.2003708E+001, 1.6246380E+001, 0.0000000E+000,-5.8345219E+000, 6.7007945E-005,-2.9994003E+000, 0.0000000E+000, 2.9620014E+000, 0.0000000E+000, 1.0260057E+001, 1.0374526E+001, 0.0000000E+000, 3.3168208E-004, 0.0000000E+000, 2.6737309E+003
 4.3013508E+001, 1.4961209E+001, 0.0000000E+000,-5.1582599E+000, 1.4236469E-004,-3.0435860E+000, 0.0000000E+000, 2.6523270E+000, 0.0000000E+000, 9.0530679E+000, 9.4118322E+000, 0.0000000E+000, 3.3498066E-004, 0.0000000E+000, 2.7287414E+003
 4.4005196E+001, 1.5833933E+001, 0.0000000E+000,-5.7076944E+000, 1.7025373E-004,-3.1132851E+000, 0.0000000E+000, 2.8843751E+000, 0.0000000E+000, 1.0043851E+001, 9.8974992E+000, 0.0000000E+000, 3.3918336E-004, 0.0000000E+000, 2.7892711E+003
 4.5005318E+001, 1.6334296E+001, 0.0000000E+000,-5.9708473E+000, 7.4025746E-005,-3.1800997E+000, 0.0000000E+000, 2.9214134E+000, 0.0000000E+000, 1.0229069E+001, 1.0104837E+001, 0.0000000E+000, 3.4305778E-004, 0.0000000E+000, 2.8509003E+003
 4.6023266E+001, 1.5592816E+001, 0.0000000E+000,-5.4994597E+000, 8.8508677E-005,-3.2413041E+000, 0.0000000E+000, 2.7492752E+000, 0.0000000E+000, 9.5050032E+000, 9.6014158E+000, 0.0000000E+000, 3.4672544E-004, 0.0000000E+000, 2.9092749E+003
 4.7022255E+001, 1.4345745E+001, 0.0000000E+000,-5.0673675E+000, 1.9889131E-004,-3.2887196E+000, 0.0000000E+000, 2.3528170E+000, 0.0000000E+000, 7.9711162E+000, 8.3426740E+000, 0.0000000E+000, 3.5041740E-004, 0.0000000E+000, 2.9573940E+003
 4.8019798E+001, 1.6853587E+001, 0.0000000E+000,-6.2018630E+000, 6.8593355E-005,-3.2919821E+000, 0.0000000E+000, 2.9779270E+000, 0.0000000E+000, 1.0332063E+001, 1.0337738E+001, 0.0000000E+000, 3.5410712E-004, 0.0000000E+000, 3.0196700E+003
 4.9010830E+001, 1.8130967E+001, 0.0000000E+000,-6.6569872E+000, 1.1058673E-004,-3.3642614E+000, 0.0000000E+000, 3.3341877E+000, 0.0000000E+000, 1.1667051E+001, 1.1444017E+001, 0.0000000E+000, 3.5750311E-004, 0.0000000E+000, 3.0896797E+003
 5.0016418E+001, 1.9499470E+001, 0.0000000E+000,-6.9155794E+000,-8.6478099E-006,-3.4261124E+000, 0.0000000E+000, 3.6504635E+000, 0.0000000E+000, 1.2639224E+001, 1.2808233E+001, 0.0000000E+000, 3.6068972E-004, 0.0000000E+000, 3.1660032E+003
