s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 0.0000000E+000, 5.7333889E+001, 4.3680614E+001, 1.3233450E+001, 3.3884029E-002, 3.8594096E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7333889E+001, 0.0000000E+000, 0.0000000E+000
 1.0054063E+000, 5.7333948E+001, 4.3680614E+001, 1.3233332E+001, 3.3989204E-002, 3.8598748E-001, 3.4824631E-007, 7.6614187E-007, 0.0000000E+000, 0.0000000E+000, 2.4163781E-005, 5.7333378E+001, 2.4163781E-005, 5.4599872E-004
 2.0101535E+000, 5.7334086E+001, 4.3680614E+001, 1.3233091E+001, 3.4204368E-002, 3.8608265E-001, 1.0606766E-006, 2.3334885E-006, 0.0000000E+000, 0.0000000E+000, 9.1287917E-005, 5.7332332E+001, 9.1287917E-005, 1.6629841E-003
 3.0195913E+000, 5.7334244E+001, 4.3680614E+001, 1.3232625E+001, 3.4619308E-002, 3.8626619E-001, 2.4345880E-006, 5.3560936E-006, 0.0000000E+000, 0.0000000E+000, 1.1190212E-004, 5.7330315E+001, 1.1190212E-004, 3.8170741E-003
 4.0180602E+000, 5.7334418E+001, 4.3680614E+001, 1.3232115E+001, 3.5074173E-002, 3.8646739E-001, 3.9406935E-006, 8.6695257E-006, 0.0000000E+000, 0.0000000E+000, 1.3522010E-004, 5.7328104E+001, 1.3522010E-004, 6.1784248E-003
 5.0171676E+000, 5.7334607E+001, 4.3680614E+001, 1.3231585E+001, 3.5546646E-002, 3.8667637E-001, 5.5051004E-006, 1.2111221E-005, 0.0000000E+000, 0.0000000E+000, 1.6776692E-004, 5.7325808E+001, 1.6776692E-004, 8.6311835E-003
 6.0203652E+000, 5.7334810E+001, 4.3680614E+001, 1.3230961E+001, 3.6103197E-002, 3.8692255E-001, 7.3478997E-006, 1.6165379E-005, 0.0000000E+000, 0.0000000E+000, 1.8625447E-004, 5.7323103E+001, 1.8625447E-004, 1.1520420E-002
 7.0197353E+000, 5.7335027E+001, 4.3680614E+001, 1.3230324E+001, 3.6670601E-002, 3.8717352E-001, 9.2266339E-006, 2.0298595E-005, 0.0000000E+000, 0.0000000E+000, 2.1563851E-004, 5.7320346E+001, 2.1563851E-004, 1.4465998E-002
 8.0125465E+000, 5.7335256E+001, 4.3680614E+001, 1.3229527E+001, 3.7381404E-002, 3.8748792E-001, 1.1580174E-005, 2.5476383E-005, 0.0000000E+000, 0.0000000E+000, 2.0845164E-004, 5.7316891E+001, 2.0845164E-004, 1.8156001E-002
