,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-08-07T11:36:05.571+02:00, 0.500E-01,   0.04999, 0.61094E+01
       2,2026-08-07T11:36:06.089+02:00, 0.500E-01,   0.09999, 0.66250E+01
       3,2026-08-07T11:36:06.686+02:00, 0.500E-01,   0.14998, 0.72344E+01
       4,2026-08-07T11:36:07.088+02:00, 0.500E-01,   0.19997, 0.76250E+01
       5,2026-08-07T11:36:07.617+02:00, 0.500E-01,   0.24997, 0.81406E+01
       6,2026-08-07T11:36:08.297+02:00, 0.500E-01,   0.29996, 0.88281E+01
       7,2026-08-07T11:36:08.884+02:00, 0.500E-01,   0.34995, 0.94062E+01
       8,2026-08-07T11:36:09.408+02:00, 0.500E-01,   0.39994, 0.99375E+01
       9,2026-08-07T11:36:10.131+02:00, 0.500E-01,   0.44994, 0.10641E+02
      10,2026-08-07T11:36:10.708+02:00, 0.500E-01,   0.49993, 0.11219E+02
      20,2026-08-07T11:36:15.892+02:00, 0.195E-02,   0.90360, 0.16375E+02
      30,2026-08-07T11:36:20.759+02:00, 0.506E-02,   0.93781, 0.21250E+02
      40,2026-08-07T11:36:25.265+02:00, 0.131E-01,   1.02655, 0.25734E+02
      50,2026-08-07T11:36:30.454+02:00, 0.243E-01,   1.24418, 0.30906E+02
      60,2026-08-07T11:36:36.222+02:00, 0.131E-01,   1.41527, 0.36672E+02
      70,2026-08-07T11:36:41.048+02:00, 0.131E-01,   1.54612, 0.41469E+02
      80,2026-08-07T11:36:45.751+02:00, 0.131E-01,   1.67697, 0.46141E+02
      90,2026-08-07T11:36:50.747+02:00, 0.131E-01,   1.80782, 0.51125E+02
     100,2026-08-07T11:36:55.319+02:00, 0.131E-01,   1.93867, 0.55688E+02
     200,2026-08-07T11:37:48.111+02:00, 0.112E-01,   3.04884, 0.10780E+03
     300,2026-08-07T11:38:43.663+02:00, 0.144E-01,   4.31427, 0.16248E+03
     400,2026-08-07T11:39:37.868+02:00, 0.168E-01,   5.91632, 0.21625E+03
     500,2026-08-07T11:40:29.098+02:00, 0.145E-01,   7.53808, 0.26720E+03
     600,2026-08-07T11:41:23.730+02:00, 0.124E-01,   8.94011, 0.32133E+03
     700,2026-08-07T11:42:25.167+02:00, 0.115E-01,  10.16792, 0.38131E+03
     800,2026-08-07T11:43:21.300+02:00, 0.112E-01,  11.24966, 0.43645E+03
     900,2026-08-07T11:44:16.929+02:00, 0.112E-01,  12.36776, 0.49116E+03
    1000,2026-08-07T11:45:10.153+02:00, 0.112E-01,  13.48587, 0.54364E+03
    1100,2026-08-07T11:46:09.045+02:00, 0.104E-01,  14.52388, 0.60150E+03
    1200,2026-08-07T11:47:06.790+02:00, 0.852E-02,  15.51391, 0.65823E+03
    1300,2026-08-07T11:48:04.619+02:00, 0.107E-01,  16.54495, 0.71500E+03
    1400,2026-08-07T11:48:57.418+02:00, 0.997E-02,  17.56357, 0.76720E+03
    1500,2026-08-07T11:49:52.168+02:00, 0.924E-02,  18.58669, 0.82123E+03
    1600,2026-08-07T11:50:44.147+02:00, 0.936E-02,  19.53680, 0.87266E+03
    1700,2026-08-07T11:51:35.658+02:00, 0.978E-02,  20.56472, 0.92359E+03
    1800,2026-08-07T11:52:27.967+02:00, 0.106E-01,  21.60953, 0.97550E+03
    1900,2026-08-07T11:53:19.408+02:00, 0.102E-01,  22.56419, 0.10264E+04
    2000,2026-08-07T11:54:11.371+02:00, 0.893E-02,  23.53084, 0.10777E+04
    2100,2026-08-07T11:55:03.113+02:00, 0.898E-02,  24.51323, 0.11290E+04
    2200,2026-08-07T11:55:55.168+02:00, 0.952E-02,  25.47122, 0.11803E+04
    2300,2026-08-07T11:56:48.655+02:00, 0.103E-01,  26.57480, 0.12332E+04
    2400,2026-08-07T11:57:41.467+02:00, 0.102E-01,  27.59003, 0.12854E+04
    2500,2026-08-07T11:58:34.760+02:00, 0.872E-02,  28.55917, 0.13382E+04
    2600,2026-08-07T11:59:25.429+02:00, 0.959E-02,  29.51412, 0.13884E+04
    2700,2026-08-07T12:00:17.716+02:00, 0.106E-01,  30.56553, 0.14402E+04
    2800,2026-08-07T12:01:08.919+02:00, 0.901E-02,  31.57869, 0.14909E+04
    2900,2026-08-07T12:02:00.591+02:00, 0.956E-02,  32.53600, 0.15422E+04
    3000,2026-08-07T12:02:52.439+02:00, 0.987E-02,  33.44342, 0.15936E+04
    3100,2026-08-07T12:03:43.944+02:00, 0.106E-01,  34.41695, 0.16446E+04
    3200,2026-08-07T12:04:34.842+02:00, 0.101E-01,  35.44466, 0.16951E+04
    3300,2026-08-07T12:05:25.734+02:00, 0.952E-02,  36.49639, 0.17456E+04
    3400,2026-08-07T12:06:16.309+02:00, 0.907E-02,  37.46191, 0.17956E+04
    3500,2026-08-07T12:07:08.045+02:00, 0.969E-02,  38.40881, 0.18469E+04
    3600,2026-08-07T12:08:00.356+02:00, 0.987E-02,  39.39056, 0.18986E+04
    3700,2026-08-07T12:08:51.472+02:00, 0.109E-01,  40.46779, 0.19492E+04
    3800,2026-08-07T12:09:42.922+02:00, 0.977E-02,  41.50478, 0.20002E+04
    3900,2026-08-07T12:10:34.572+02:00, 0.102E-01,  42.50790, 0.20513E+04
    4000,2026-08-07T12:11:27.435+02:00, 0.108E-01,  43.54054, 0.21036E+04
    4100,2026-08-07T12:12:18.974+02:00, 0.100E-01,  44.49680, 0.21545E+04
    4200,2026-08-07T12:13:10.294+02:00, 0.121E-01,  45.54305, 0.22055E+04
    4300,2026-08-07T12:14:01.576+02:00, 0.104E-01,  46.59141, 0.22564E+04
    4400,2026-08-07T12:14:53.506+02:00, 0.895E-02,  47.66115, 0.23078E+04
    4500,2026-08-07T12:15:43.739+02:00, 0.949E-02,  48.67572, 0.23577E+04
    4600,2026-08-07T12:16:33.993+02:00, 0.988E-02,  49.62419, 0.24076E+04
    4700,2026-08-07T12:17:25.793+02:00, 0.104E-01,  50.61306, 0.24588E+04
    4800,2026-08-07T12:18:18.564+02:00, 0.947E-02,  51.64494, 0.25109E+04
    4900,2026-08-07T12:19:13.672+02:00, 0.970E-02,  52.64922, 0.25655E+04
    5000,2026-08-07T12:20:04.658+02:00, 0.107E-01,  53.71087, 0.26162E+04
    5100,2026-08-07T12:20:58.547+02:00, 0.947E-02,  54.75111, 0.26693E+04
    5200,2026-08-07T12:21:49.466+02:00, 0.101E-01,  55.73268, 0.27198E+04
    5300,2026-08-07T12:22:41.237+02:00, 0.110E-01,  56.73450, 0.27711E+04
